Reading,Receive,Value,Unit,Data Quality
12/05/2014 06:44:59 AM,12/05/2014 06:45:25 AM,0.04,in,A
12/05/2014 06:26:48 AM,12/05/2014 06:26:55 AM,0.04,in,A
12/05/2014 06:08:49 AM,12/05/2014 06:08:55 AM,0.04,in,A
12/05/2014 05:51:19 AM,12/05/2014 05:51:25 AM,0.04,in,A
12/05/2014 05:35:29 AM,12/05/2014 05:35:55 AM,0.04,in,A
12/05/2014 05:17:23 AM,12/05/2014 05:17:25 AM,0.04,in,A
12/05/2014 04:55:49 AM,12/05/2014 04:55:56 AM,0.04,in,A
12/05/2014 04:39:18 AM,12/05/2014 04:39:25 AM,0.00,in,A
12/05/2014 04:30:58 AM,12/05/2014 04:31:25 AM,0.04,in,A
12/05/2014 03:57:56 AM,12/05/2014 03:58:25 AM,0.04,in,A
12/05/2014 03:32:58 AM,12/05/2014 03:33:25 AM,0.04,in,A
12/05/2014 03:17:25 AM,12/05/2014 03:17:55 AM,0.04,in,A
