NEW,,,,,Filenames,,HARI,,,
properties.site_id,properties.site_alias,Lat,Long,,,,ID,Latitude,Longitude,New ID
4376,16321,39.0330694,-94.6053658,,16030,,2500,39.0897708,-94.4930787,16063
4375,16322,39.0403125,-94.5854459,,16031,,16093,38.9924400,-94.6492500,16061
4434,16323,39.0042676,-94.5841980,,16032,,5600,38.9946935,-94.6396259,16075
4370,16324,39.0135336,-94.5644800,,16033,,16094,38.9973800,-94.6364700,16075
4377,16325,39.0667649,-94.5655363,,16034,,5700,39.0225757,-94.6427877,16063
4372,16327,39.0370608,-94.5313469,,16035,,5800,39.0330694,-94.6053658,16063
275,16087,38.7676040,-95.0242210,,16036,,5900,39.0403125,-94.5854459,16063
8,16084,38.7822080,-94.9923610,,16037,,5170,39.0042676,-94.5841980,16060
77,16085,38.8228000,-94.8986900,,16038,,5100,39.0135336,-94.5644800,16058
276,16088,38.7689330,-94.8713850,,16039,,5200,39.0667649,-94.5655363,16063
79,16086,38.8632200,-94.8441300,,16040,,5400,39.0405277,-94.5664928,16063
82,16068,38.8836900,-94.8798600,,16042,,6000,39.0370608,-94.5313469,16063
83,16073,38.8982500,-94.8881100,,16043,,16087,38.7676040,-95.0242210,#N/A
85,16071,38.9127200,-94.8816600,,16044,,16084,38.7827200,-94.9919700,#N/A
86,16069,38.9126100,-94.8881600,,16045,,16085,38.8228000,-94.8986900,#N/A
117,16070,38.9560200,-94.9152700,,16046,,16088,38.7689330,-94.8713850,#N/A
118,16072,38.9563000,-94.9233900,,16047,,16086,38.8632200,-94.8441300,16306
121,16074,38.9805000,-94.9258600,,16048,,16068,38.8836900,-94.8798600,16306
56,16037,38.8305000,-94.7424400,,16049,,16073,38.8982500,-94.8881100,16306
269,16038,38.8259970,-94.7238590,,16050,,16071,38.9127200,-94.8816600,16071
50,16039,38.8217200,-94.7051100,,16051,,16069,38.9126100,-94.8881600,16306
4411,16328,39.3111325,-94.6431917,,16052,,16070,38.9560200,-94.9152700,16066
4393,16330,39.1949229,-94.5482673,,16053,,16072,38.9563000,-94.9233900,16066
4408,16331,39.2599746,-94.5650796,,16054,,16074,38.9805000,-94.9258600,16061
4395,16332,39.1898864,-94.6100294,,16055,,16037,38.8305000,-94.7424400,#N/A
59,16018,38.8549700,-94.7970800,,16057,,16038,38.8259970,-94.7238590,#N/A
60,16007,38.8690000,-94.7861110,,16058,,16039,38.8217200,-94.7051100,#N/A
274,16014,38.8941660,-94.7608330,,16059,,3640,39.3111325,-94.6431917,16034
70,16028,38.9271100,-94.7367200,,16060,,2610,39.3049047,-94.4921272,16034
72,16017,38.9356146,-94.7201441,,16061,,3960,39.1949229,-94.5482673,16045
