bin_start_utc,bin_end_utc,depth_5min_mm,mm_per_hr
2023-10-25 06:15:00+00:00,2023-10-25 06:20:00+00:00,1.016,12.192
2023-10-25 07:10:00+00:00,2023-10-25 07:15:00+00:00,1.016,12.192
2023-10-25 09:15:00+00:00,2023-10-25 09:20:00+00:00,0.0,0.0
2023-10-25 09:50:00+00:00,2023-10-25 09:55:00+00:00,1.016,12.192
2023-10-25 10:05:00+00:00,2023-10-25 10:10:00+00:00,1.016,12.192
2023-10-25 10:30:00+00:00,2023-10-25 10:35:00+00:00,1.016,12.192
2023-10-25 11:05:00+00:00,2023-10-25 11:10:00+00:00,1.016,12.192
2023-10-25 11:40:00+00:00,2023-10-25 11:45:00+00:00,1.016,12.192
2023-10-25 12:20:00+00:00,2023-10-25 12:25:00+00:00,1.016,12.192
2023-10-25 15:00:00+00:00,2023-10-25 15:05:00+00:00,1.016,12.192
2023-10-25 15:10:00+00:00,2023-10-25 15:15:00+00:00,1.016,12.192
2023-10-25 15:15:00+00:00,2023-10-25 15:20:00+00:00,1.016,12.192
2023-10-25 15:20:00+00:00,2023-10-25 15:25:00+00:00,1.016,12.192
2023-10-25 15:50:00+00:00,2023-10-25 15:55:00+00:00,1.016,12.192
2023-10-25 16:05:00+00:00,2023-10-25 16:10:00+00:00,1.016,12.192
2023-10-25 16:10:00+00:00,2023-10-25 16:15:00+00:00,1.016,12.192
2023-10-25 16:15:00+00:00,2023-10-25 16:20:00+00:00,3.048,36.576
2023-10-25 16:25:00+00:00,2023-10-25 16:30:00+00:00,2.032,24.384
2023-10-25 16:30:00+00:00,2023-10-25 16:35:00+00:00,2.032,24.384
2023-10-25 16:35:00+00:00,2023-10-25 16:40:00+00:00,2.032,24.384
2023-10-25 16:45:00+00:00,2023-10-25 16:50:00+00:00,1.016,12.192
2023-10-25 17:05:00+00:00,2023-10-25 17:10:00+00:00,1.016,12.192
2023-10-25 18:50:00+00:00,2023-10-25 18:55:00+00:00,1.016,12.192
2023-10-25 21:15:00+00:00,2023-10-25 21:20:00+00:00,0.0,0.0
2023-10-26 07:10:00+00:00,2023-10-26 07:15:00+00:00,2.032,24.384
2023-10-26 07:15:00+00:00,2023-10-26 07:20:00+00:00,2.032,24.384
2023-10-26 07:20:00+00:00,2023-10-26 07:25:00+00:00,1.016,12.192
2023-10-26 07:40:00+00:00,2023-10-26 07:45:00+00:00,1.016,12.192
2023-10-26 07:50:00+00:00,2023-10-26 07:55:00+00:00,1.016,12.192
2023-10-26 08:00:00+00:00,2023-10-26 08:05:00+00:00,2.032,24.384
2023-10-26 08:05:00+00:00,2023-10-26 08:10:00+00:00,1.016,12.192
2023-10-26 08:10:00+00:00,2023-10-26 08:15:00+00:00,2.032,24.384
2023-10-26 08:20:00+00:00,2023-10-26 08:25:00+00:00,1.016,12.192
2023-10-26 09:15:00+00:00,2023-10-26 09:20:00+00:00,0.0,0.0
2023-10-26 11:05:00+00:00,2023-10-26 11:10:00+00:00,1.016,12.192
2023-10-26 21:15:00+00:00,2023-10-26 21:20:00+00:00,0.0,0.0
2023-10-27 09:15:00+00:00,2023-10-27 09:20:00+00:00,0.0,0.0
2023-10-27 21:15:00+00:00,2023-10-27 21:20:00+00:00,0.0,0.0
2023-10-28 09:15:00+00:00,2023-10-28 09:20:00+00:00,0.0,0.0
2023-10-28 13:10:00+00:00,2023-10-28 13:15:00+00:00,1.016,12.192
2023-10-28 13:25:00+00:00,2023-10-28 13:30:00+00:00,1.016,12.192
2023-10-28 14:00:00+00:00,2023-10-28 14:05:00+00:00,1.016,12.192
2023-10-28 14:20:00+00:00,2023-10-28 14:25:00+00:00,1.016,12.192
2023-10-28 14:35:00+00:00,2023-10-28 14:40:00+00:00,1.016,12.192
2023-10-28 14:45:00+00:00,2023-10-28 14:50:00+00:00,1.016,12.192
2023-10-28 14:55:00+00:00,2023-10-28 15:00:00+00:00,1.016,12.192
2023-10-28 15:05:00+00:00,2023-10-28 15:10:00+00:00,1.016,12.192
2023-10-28 15:20:00+00:00,2023-10-28 15:25:00+00:00,1.016,12.192
2023-10-28 15:45:00+00:00,2023-10-28 15:50:00+00:00,1.016,12.192
2023-10-28 16:05:00+00:00,2023-10-28 16:10:00+00:00,1.016,12.192
2023-10-28 16:15:00+00:00,2023-10-28 16:20:00+00:00,1.016,12.192
2023-10-28 16:35:00+00:00,2023-10-28 16:40:00+00:00,1.016,12.192
2023-10-28 16:55:00+00:00,2023-10-28 17:00:00+00:00,1.016,12.192
2023-10-28 17:25:00+00:00,2023-10-28 17:30:00+00:00,1.016,12.192
2023-10-28 18:25:00+00:00,2023-10-28 18:30:00+00:00,1.016,12.192
2023-10-28 19:05:00+00:00,2023-10-28 19:10:00+00:00,1.016,12.192
2023-10-28 19:20:00+00:00,2023-10-28 19:25:00+00:00,1.016,12.192
2023-10-28 19:35:00+00:00,2023-10-28 19:40:00+00:00,1.016,12.192
2023-10-28 19:45:00+00:00,2023-10-28 19:50:00+00:00,1.016,12.192
2023-10-28 20:30:00+00:00,2023-10-28 20:35:00+00:00,1.016,12.192
2023-10-28 20:55:00+00:00,2023-10-28 21:00:00+00:00,1.016,12.192
2023-10-28 21:05:00+00:00,2023-10-28 21:10:00+00:00,1.016,12.192
2023-10-28 21:15:00+00:00,2023-10-28 21:20:00+00:00,0.0,0.0
2023-10-28 21:30:00+00:00,2023-10-28 21:35:00+00:00,1.016,12.192
2023-10-29 09:15:00+00:00,2023-10-29 09:20:00+00:00,0.0,0.0
