id,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3
12360118,44.617,1.713,0,16043,3184.418269,28.71403676,0.232959181,16048,1595.266366,150.6046037,0.547907288,16038,3375.842416,272.9473566,0.219133531
12360115,44.617,1.713,0,16020,4028.03436,22.61380397,0.131527177,16030,773.7319713,269.1692374,0.775934625,16048,4774.080156,171.3066044,0.092538197
12360114,44.617,1.713,0,16020,3023.326529,30.36621244,0.329369922,16043,2192.505313,138.6668437,0.399004415,16023,3754.994042,252.7740924,0.271625664
12360113,44.617,1.713,0,16020,2126.034252,45.17353094,0.288363483,16043,3103.855276,152.6181138,0.178022135,16022,1366.754012,277.2634672,0.533614382
12360112,44.617,1.713,0,16020,1537.409497,75.34420216,0.445045379,16027,1879.789624,318.8841753,0.364977786,16030,3443.388686,194.0357238,0.189976835
12335615,44.617,1.713,0,16007,3115.246755,301.0344347,0.376941363,16037,2929.912426,159.2500121,0.400060891,16021,3578.115619,50.90687156,0.222997745
12335614,44.617,1.713,0,16025,2323.867799,29.81864007,0.443381399,16037,3981.655066,165.2058158,0.253890142,16007,2736.0433,280.4504863,0.30272846
12335613,44.617,1.713,0,16024,1230.0526,115.3963609,0.596473389,16014,2186.798018,347.7234584,0.279371127,16018,4275.354794,239.7798257,0.124155483
12335612,44.617,1.713,0,16025,1131.308983,100.3576684,0.487379799,16007,3231.250847,237.7693812,0.124819258,16014,1136.320571,334.6604861,0.387800943
12335611,44.617,1.713,0,16028,3900.898244,25.07568376,0.074750065,16025,1707.608216,140.2668622,0.171991501,16014,514.3821737,260.7358258,0.753258433
12335610,44.617,1.713,0,16028,2921.666224,33.95579622,0.317273896,16014,1304.680578,203.9214306,0.709615016,16027,4880.08207,100.840966,-0.026888911
12335609,44.617,1.713,0,16028,2078.335212,50.79795631,0.516203808,16025,3685.20706,163.4650101,0.260314132,16055,4610.537143,288.3008476,0.22348206
12335608,44.617,1.713,0,16025,4754.948447,167.5210936,0.157536417,16055,4411.664726,274.3931442,0.35843017,16017,3243.379352,69.78152005,0.484033413
12335607,44.617,1.713,0,16017,3022.180361,89.78943424,0.600762882,16055,4486.960588,260.0943396,0.393751412,16014,4560.761609,187.4723317,0.005485706
12335606,44.617,1.713,0,16062,4535.0948,6.716758474,0.273715971,16055,4823.603821,247.0393076,0.33078833,16016,3807.582001,112.6804583,0.395495699
