id,Latitude,Longitude,radius_used_km,g1,d1_m,b1_deg,g2,d2_m,b2_deg,g3,d3_m,b3_deg,g4,d4_m,b4_deg,g5,d5_m,b5_deg,g6,d6_m,b6_deg,g7,d7_m,b7_deg,g8,d8_m,b8_deg,g9,d9_m,b9_deg,g10,d10_m,b10_deg
2832.0,39.015547,-94.686119,5,16052,1011.8711264547866,314.89900967637516,16090,1434.4961071610544,229.80321262769388,16050,2906.7568356850766,28.362428401808586,5700,3824.1732375375896,78.19357663573942,16093,4092.842886777155,128.8745570206505,16006,4567.020741735309,177.99432799224837,16053,1624.2014331454654,203.28784560542405,16054,2042.8811750951131,356.26431714008595,16064,3869.404178445747,253.61011336992598,16051,4078.071711995019,39.67748215606872
2833.0,39.015547,-94.681952,5,16052,1292.1160098015225,303.559211199453,16090,1725.2077444205097,237.54593226538992,16050,2754.008014111242,21.759733491316297,5700,3472.5575855220013,76.98087537224683,16093,3819.2611939127514,132.2689035778535,16006,4568.618440024834,182.51382576033805,16053,1797.2230308378998,213.89294899504856,16054,2097.325470959288,346.40421848262633,16051,3858.172707952341,35.56181970031099,16064,4216.012213561777,254.99330924638826
2834.0,39.015547,-94.677785,5,16052,1604.505284775647,296.4365948424088,16053,2020.2119919861693,222.40209947803496,16050,2641.7829237802157,14.491237134470055,5700,3122.8515809491937,75.49547873546243,16093,3561.1023964205333,136.17062789841856,16090,2038.1735271235493,242.98736692440121,16054,2209.8266726019583,337.29572781615485,16051,3660.524181244686,30.97558922432478,5600,4030.9887644887885,125.10478947386065,16094,4101.819630241802,119.49098293955706
2835.0,39.015547,-94.673618,5,16052,1933.5209988309616,291.6839962293048,16053,2278.5451287216506,229.10468004849324,16050,2575.384617262419,6.715505383278298,5700,2775.777078790112,73.63676793971183,16093,3321.964107454973,140.6573603478369,16090,2364.5734868619857,246.95503278270635,16054,2372.1388808346555,329.25007642380405,16051,3488.9096867862504,25.90260544570623,5600,3742.1993108037277,128.2789607134065,16094,3792.601408430404,122.17212908295181
2836.0,39.015547,-94.669451,5,16052,2271.9512566276885,288.3299181043915,5700,2432.460764853556,71.24986598843009,16050,2558.3836447806393,358.68460730398203,16053,2561.551259182878,234.3864949493916,16093,3106.242397343354,145.8025680672311,16054,2574.8594079390477,322.35124160025987,16090,2699.539053748452,249.94994407095507,16051,3347.33583767457,20.353426600376338,5600,3466.775695632537,131.97017543628868,16094,3493.137492087032,125.32067389480483
2837.0,39.015547,-94.665284,5,5700,2094.7512846741465,68.08583692655225,16050,2591.7522755286423,350.7047666627207,16052,2616.144947168439,285.85199683102593,16053,2861.920218854036,238.58974629056348,16093,2919.1332926417927,151.65994665419413,16054,2809.25403317097,316.5301157143448,16090,3040.240337033868,252.2791351901095,16094,3206.162280641928,129.04562796183393,5600,3208.162176348681,136.27669436233458,16051,3239.74327785435,14.375863326665979
2838.0,39.015547,-94.661117,5,5700,1765.8683729574782,63.724937365923836,16050,2673.6052210360485,343.0709790916903,16093,2766.448550225549,158.2396080712981,16052,2964.094982571558,283.95324420599997,16006,4983.54855602517,203.67936982531577,16094,2935.3409581869355,133.47947923020274,5600,2970.752120788123,141.3037655677548,16054,3068.0718088124004,311.6474778866568,16051,3169.5944050776475,8.061694730015176,16053,3174.727603622711,241.9803604679915
2839.0,39.015547,-94.65695,5,5700,1451.822948266562,57.42565505965479,16093,2654.135835893964,165.4794276353116,16050,2799.693185638374,336.00728123235444,16052,3314.618613319216,282.45498667812797,16094,2685.5650159884644,138.77483195557215,5600,2760.022566418054,147.14950132927652,16005,3026.490816704065,62.04985856088564,16051,3139.4002245675183,1.5448060245533384,16054,3345.6494393308594,307.5493329869174,16053,3496.636798958019,244.75520705587854
2840.0,39.015547,-94.652783,5,5700,1164.6798848933533,47.848802219355264,16094,2463.244875288787,145.0886100428189,16050,2964.3770042847154,329.63960769820767,16052,3666.9778889618096,281.24421315548625,5600,2582.513071448469,153.8776421429734,16093,2587.457737719391,173.22294942366204,16005,2713.719512662712,58.487698611355995,16051,3150.3097845685734,354.9878415182916,16054,3637.694992675767,304.09397081486304,16053,3825.350699535999,247.05804543679395
2841.0,39.015547,-94.648616,5,5700,929.7091995178372,32.78970525645707,16094,2276.4389130414183,152.54282049980498,16050,3161.631247541139,324.0035610573767,16053,4159.256251303423,248.9940703041068,16005,2414.1396247066054,54.020006603046795,5600,2445.468412461206,161.47584749191753,16093,2569.9686980772676,181.22166333681432,16051,3201.9029652311797,348.55944340937896,16054,3940.9933628830886,301.1612868370156,16052,4020.690229260807,280.2463172566263
