time,event_raw_value_str,event_value,event_unit,hourly_value
2012-05-06 02:40:26+00:00,0.0,0.0,mm,
2012-05-06 10:03:56+00:00,0.04,1.016,mm,
2012-05-06 10:07:17+00:00,0.04,1.016,mm,
2012-05-06 10:12:41+00:00,0.04,1.016,mm,
2012-05-06 10:25:30+00:00,0.04,1.016,mm,
2012-05-06 11:06:14+00:00,0.04,1.016,mm,
2012-05-06 11:07:02+00:00,0.04,1.016,mm,
2012-05-06 11:07:46+00:00,0.04,1.016,mm,
2012-05-06 11:09:09+00:00,0.04,1.016,mm,
2012-05-06 11:14:24+00:00,0.04,1.016,mm,
2012-05-06 14:40:27+00:00,0.0,0.0,mm,
2012-05-06 18:37:58+00:00,0.04,1.016,mm,
2012-05-06 18:39:28+00:00,0.04,1.016,mm,
2012-05-06 18:40:23+00:00,0.04,1.016,mm,
2012-05-06 18:41:35+00:00,0.04,1.016,mm,
2012-05-06 18:42:25+00:00,0.04,1.016,mm,
2012-05-06 18:55:25+00:00,0.04,1.016,mm,
