,station1,station2,distance_km,correlation
9004,16057,3800,32.52330367916876,-0.36006870443268485
9005,16057,4150,32.95831834111719,-0.13683944346915503
9006,16057,3740,38.47870661831784,-0.5244724586214515
9007,16057,3900,30.1573637572565,-0.29348599557362176
9008,16057,3680,37.66413947995952,-0.2766106060891399
9009,16057,3880,31.047022562640414,-0.4970655910881867
9010,16057,7000,18.18576318623323,-0.29704657713083676
9011,16057,7060,22.105828124490966,-0.5335436284117759
9012,16057,7050,14.672306294895918,-0.5708780586840334
9013,16057,3940,35.577342030756746,-0.5397280118812486
9014,16057,3760,39.07403865892581,-0.08572784660981966
9015,16057,3660,40.26919581623759,-0.8279528520699015
9016,16057,3690,41.17867291407482,-0.5106624740487998
9017,16057,16025,11.247554672892623,0.5816883678918809
9018,16057,16023,14.706296955315919,0.5581598446429739
9019,16057,16024,12.462982985977822,0.6401144456239864
9020,16057,16021,12.878129781548992,0.5256771636515077
9021,16057,16022,14.141527706130981,0.584274784230668
9022,16057,16026,15.163704530752774,0.7984572420557686
9023,16057,16027,12.644773314737376,0.3638123101585894
9024,16057,16020,15.43745038021825,-0.4984199632885642
9025,16057,16019,16.604927532060795,0.606033712672756
9026,16057,16053,11.207847516159157,0.511000838420582
9027,16057,16090,10.997596937362548,0.5571278347186037
9028,16057,16052,12.08020390997527,0.40580060133166634
9029,16057,16054,13.277413286182359,0.4202167160309063
9030,16057,16051,16.179225807602258,0.43610857001442604
9031,16057,3000,19.255334379947335,-0.6021679435959851
9032,16057,2900,21.532468209723806,-0.6199979614613013
9033,16057,1010,26.921758902396043,-0.6936000872845108
9034,16057,16032,17.224598214284143,0.8818971559073061
9035,16057,16033,22.24963429369058,0.8699487887713457
9036,16057,16031,22.94206678813793,0.9444593482286058
9037,16057,16036,22.551108052691358,0.648094317329099
9038,16057,16047,21.557322047699085,0.5826902185388952
9039,16057,16034,25.31921924173277,0.7257929646550414
9040,16061,16075,3.5040483271128013,0.9511829804668028
9041,16061,16065,6.596886357283351,0.9523129841582232
